	Frame	X	Y	Z	Reliability
  	133	1.184544	0.430968	0.077811	0.000000
  	134	1.184622	0.430950	0.077932	0.000000
  	135	1.184703	0.430929	0.078051	0.000000
  	136	1.184785	0.430906	0.078166	0.000000
  	137	1.184869	0.430880	0.078275	0.000000
  	138	1.184951	0.430851	0.078378	0.000000
  	139	1.185031	0.430820	0.078475	0.000000
  	140	1.185109	0.430788	0.078566	0.000000
  	141	1.185183	0.430755	0.078653	0.000000
  	142	1.185254	0.430723	0.078735	0.000000
  	143	1.185321	0.430693	0.078817	0.000000
  	144	1.185388	0.430665	0.078899	0.000000
  	145	1.185453	0.430642	0.078983	0.000000
  	146	1.185519	0.430624	0.079071	0.000000
  	147	1.185586	0.430613	0.079164	0.000000
  	148	1.185657	0.430609	0.079265	0.000000
  	149	1.185731	0.430612	0.079375	0.000000
  	150	1.185808	0.430624	0.079494	0.000000
  	151	1.185890	0.430642	0.079623	0.000000
  	152	1.185974	0.430667	0.079762	0.000000
  	153	1.186059	0.430696	0.079908	0.000000
  	154	1.186144	0.430725	0.080059	0.000000
  	155	1.186228	0.430752	0.080211	0.000000
  	156	1.186310	0.430772	0.080359	0.000000
  	157	1.186390	0.430780	0.080499	0.000000
  	158	1.186468	0.430771	0.080626	0.000000
  	159	1.186544	0.430742	0.080738	0.000000
  	160	1.186619	0.430692	0.080833	0.000000
  	161	1.186695	0.430624	0.080915	0.000000
  	162	1.186773	0.430543	0.080989	0.000000
  	163	1.186856	0.430455	0.081058	0.000000
  	164	1.186946	0.430362	0.081127	0.000000
  	165	1.187041	0.430267	0.081200	0.000000
  	166	1.187144	0.430171	0.081278	0.000000
  	167	1.187254	0.430078	0.081367	0.000000
  	168	1.187371	0.429987	0.081468	0.000000
  	169	1.187495	0.429899	0.081584	0.000000
  	170	1.187626	0.429813	0.081716	0.000000
  	171	1.187765	0.429728	0.081864	0.000000
  	172	1.187912	0.429643	0.082029	0.000000
  	173	1.188066	0.429556	0.082210	0.000000
  	174	1.188230	0.429465	0.082407	0.000000
  	175	1.188403	0.429368	0.082621	0.000000
  	176	1.188586	0.429264	0.082852	0.000000
  	177	1.188780	0.429150	0.083103	0.000000
  	178	1.188987	0.429026	0.083378	0.000000
  	179	1.189209	0.428891	0.083683	0.000000
  	180	1.189449	0.428742	0.084027	0.000000
  	181	1.189713	0.428578	0.084419	0.000000
  	182	1.190004	0.428396	0.084873	0.000000
  	183	1.190330	0.428192	0.085403	0.000000
  	184	1.190700	0.427963	0.086027	0.000000
  	185	1.191122	0.427704	0.086761	0.000000
  	186	1.191606	0.427413	0.087624	0.000000
  	187	1.192163	0.427089	0.088634	0.000000
  	188	1.192805	0.426736	0.089812	0.000000
  	189	1.193543	0.426358	0.091173	0.000000
  	190	1.194390	0.425962	0.092736	0.000000
  	191	1.195359	0.425557	0.094514	0.000000
  	192	1.196469	0.425152	0.096521	0.000000
  	193	1.197736	0.424753	0.098767	0.000000
  	194	1.199181	0.424371	0.101260	0.000000
  	195	1.200827	0.424011	0.104010	0.000000
  	196	1.202698	0.423681	0.107025	0.000000
  	197	1.204818	0.423387	0.110308	0.000000
  	198	1.207214	0.423133	0.113866	0.000000
  	199	1.209913	0.422920	0.117698	0.000000
  	200	1.212940	0.422749	0.121801	0.000000
  	201	1.216316	0.422618	0.126169	0.000000
  	202	1.220059	0.422526	0.130791	0.000000
  	203	1.224183	0.422475	0.135653	0.000000
  	204	1.228693	0.422465	0.140736	0.000000
  	205	1.233585	0.422501	0.146018	0.000000
  	206	1.238851	0.422590	0.151470	0.000000
  	207	1.244477	0.422738	0.157061	0.000000
  	208	1.250445	0.422947	0.162747	0.000000
  	209	1.256741	0.423217	0.168478	0.000000
  	210	1.263354	0.423543	0.174193	0.000000
  	211	1.270282	0.423917	0.179822	0.000000
  	212	1.277527	0.424324	0.185288	0.000000
  	213	1.285100	0.424750	0.190505	0.000000
  	214	1.293012	0.425178	0.195388	0.000000
  	215	1.301274	0.425591	0.199852	0.000000
  	216	1.309900	0.425973	0.203821	0.000000
  	217	1.318896	0.426306	0.207224	0.000000
  	218	1.328268	0.426579	0.210005	0.000000
  	219	1.338015	0.426780	0.212118	0.000000
  	220	1.348132	0.426903	0.213532	0.000000
  	221	1.358611	0.426948	0.214229	0.000000
  	222	1.369443	0.426920	0.214207	0.000000
  	223	1.380616	0.426831	0.213474	0.000000
  	224	1.392120	0.426694	0.212051	0.000000
  	225	1.403948	0.426529	0.209970	0.000000
  	226	1.416090	0.426355	0.207272	0.000000
  	227	1.428541	0.426192	0.204004	0.000000
  	228	1.441293	0.426061	0.200221	0.000000
  	229	1.454339	0.425979	0.195978	0.000000
  	230	1.467674	0.425958	0.191335	0.000000
  	231	1.481292	0.426007	0.186352	0.000000
  	232	1.495187	0.426125	0.181088	0.000000
  	233	1.509353	0.426309	0.175600	0.000000
  	234	1.523783	0.426549	0.169945	0.000000
  	235	1.538474	0.426830	0.164172	0.000000
  	236	1.553420	0.427138	0.158326	0.000000
  	237	1.568616	0.427457	0.152453	0.000000
  	238	1.584056	0.427777	0.146595	0.000000
  	239	1.599732	0.428087	0.140795	0.000000
  	240	1.615632	0.428380	0.135093	0.000000
  	241	1.631744	0.428646	0.129530	0.000000
  	242	1.648049	0.428882	0.124142	0.000000
  	243	1.664522	0.429081	0.118965	0.000000
  	244	1.681133	0.429242	0.114029	0.000000
  	245	1.697846	0.429359	0.109356	0.000000
  	246	1.714623	0.429428	0.104964	0.000000
  	247	1.731419	0.429442	0.100869	0.000000
  	248	1.748189	0.429394	0.097081	0.000000
  	249	1.764885	0.429275	0.093607	0.000000
  	250	1.781457	0.429075	0.090449	0.000000
  	251	1.797844	0.428790	0.087608	0.000000
  	252	1.813976	0.428424	0.085079	0.000000
  	253	1.829769	0.427988	0.082855	0.000000
