	Frame	X	Y	Z	Reliability
  	133	1.063453	0.268485	0.057589	0.000000
  	134	1.076304	0.267179	0.057975	0.000000
  	135	1.089745	0.265905	0.058066	0.000000
  	136	1.103721	0.264659	0.057876	0.000000
  	137	1.118182	0.263433	0.057426	0.000000
  	138	1.133073	0.262219	0.056739	0.000000
  	139	1.148346	0.261010	0.055846	0.000000
  	140	1.163950	0.259802	0.054776	0.000000
  	141	1.179842	0.258595	0.053563	0.000000
  	142	1.195981	0.257394	0.052238	0.000000
  	143	1.212332	0.256208	0.050833	0.000000
  	144	1.228860	0.255052	0.049380	0.000000
  	145	1.245537	0.253942	0.047911	0.000000
  	146	1.262337	0.252900	0.046457	0.000000
  	147	1.279238	0.251947	0.045052	0.000000
  	148	1.296222	0.251108	0.043727	0.000000
  	149	1.313273	0.250409	0.042513	0.000000
  	150	1.330382	0.249873	0.041437	0.000000
  	151	1.347535	0.249523	0.040523	0.000000
  	152	1.364724	0.249378	0.039787	0.000000
  	153	1.381937	0.249450	0.039244	0.000000
  	154	1.399161	0.249744	0.038899	0.000000
  	155	1.416378	0.250259	0.038756	0.000000
  	156	1.433570	0.250983	0.038812	0.000000
  	157	1.450711	0.251899	0.039062	0.000000
  	158	1.467775	0.252978	0.039497	0.000000
  	159	1.484729	0.254190	0.040101	0.000000
  	160	1.501537	0.255497	0.040857	0.000000
  	161	1.518159	0.256857	0.041748	0.000000
  	162	1.534550	0.258227	0.042754	0.000000
  	163	1.550661	0.259563	0.043860	0.000000
  	164	1.566440	0.260822	0.045051	0.000000
  	165	1.581830	0.261964	0.046318	0.000000
  	166	1.596774	0.262959	0.047654	0.000000
  	167	1.611214	0.263784	0.049049	0.000000
  	168	1.625094	0.264432	0.050492	0.000000
  	169	1.638362	0.264909	0.051963	0.000000
  	170	1.650972	0.265237	0.053431	0.000000
  	171	1.662881	0.265451	0.054854	0.000000
  	172	1.674057	0.265599	0.056180	0.000000
  	173	1.684470	0.265735	0.057350	0.000000
