TARGET::PROCESSED::RMT2
File	Frame	X 	Y 	Z 	Reliability
 - 	161	-1.364878	0.474707	0.030563	0.000000
 - 	162	-1.364872	0.474722	0.030536	0.000000
 - 	163	-1.364870	0.474737	0.030509	0.000000
 - 	164	-1.364870	0.474749	0.030481	0.000000
 - 	165	-1.364873	0.474759	0.030451	0.000000
 - 	166	-1.364879	0.474766	0.030419	0.000000
 - 	167	-1.364886	0.474768	0.030385	0.000000
 - 	168	-1.364895	0.474768	0.030350	0.000000
 - 	169	-1.364903	0.474766	0.030315	0.000000
 - 	170	-1.364912	0.474762	0.030281	0.000000
 - 	171	-1.364920	0.474757	0.030249	0.000000
 - 	172	-1.364928	0.474752	0.030218	0.000000
 - 	173	-1.364935	0.474747	0.030190	0.000000
 - 	174	-1.364940	0.474742	0.030165	0.000000
 - 	175	-1.364943	0.474735	0.030141	0.000000
 - 	176	-1.364943	0.474726	0.030121	0.000000
 - 	177	-1.364940	0.474715	0.030103	0.000000
 - 	178	-1.364933	0.474701	0.030088	0.000000
 - 	179	-1.364921	0.474683	0.030077	0.000000
 - 	180	-1.364906	0.474660	0.030070	0.000000
 - 	181	-1.364887	0.474633	0.030065	0.000000
 - 	182	-1.364864	0.474600	0.030063	0.000000
 - 	183	-1.364841	0.474561	0.030064	0.000000
 - 	184	-1.364817	0.474516	0.030066	0.000000
 - 	185	-1.364795	0.474466	0.030069	0.000000
 - 	186	-1.364778	0.474409	0.030073	0.000000
 - 	187	-1.364769	0.474347	0.030076	0.000000
 - 	188	-1.364771	0.474280	0.030079	0.000000
 - 	189	-1.364787	0.474207	0.030079	0.000000
 - 	190	-1.364820	0.474130	0.030076	0.000000
 - 	191	-1.364872	0.474049	0.030065	0.000000
 - 	192	-1.364943	0.473964	0.030047	0.000000
 - 	193	-1.365035	0.473878	0.030017	0.000000
 - 	194	-1.365149	0.473791	0.029977	0.000000
 - 	195	-1.365285	0.473705	0.029927	0.000000
 - 	196	-1.365444	0.473622	0.029867	0.000000
 - 	197	-1.365629	0.473544	0.029802	0.000000
 - 	198	-1.365842	0.473472	0.029736	0.000000
 - 	199	-1.366089	0.473408	0.029678	0.000000
 - 	200	-1.366379	0.473353	0.029638	0.000000
 - 	201	-1.366723	0.473307	0.029631	0.000000
 - 	202	-1.367137	0.473270	0.029674	0.000000
 - 	203	-1.367642	0.473241	0.029789	0.000000
 - 	204	-1.368265	0.473217	0.030004	0.000000
 - 	205	-1.369042	0.473193	0.030348	0.000000
 - 	206	-1.370019	0.473163	0.030856	0.000000
 - 	207	-1.371256	0.473115	0.031564	0.000000
 - 	208	-1.372824	0.473037	0.032503	0.000000
 - 	209	-1.374806	0.472910	0.033699	0.000000
 - 	210	-1.377291	0.472716	0.035164	0.000000
 - 	211	-1.380373	0.472437	0.036892	0.000000
 - 	212	-1.384138	0.472063	0.038856	0.000000
 - 	213	-1.388665	0.471594	0.041011	0.000000
 - 	214	-1.394016	0.471041	0.043293	0.000000
 - 	215	-1.400237	0.470423	0.045626	0.000000
 - 	216	-1.407351	0.469766	0.047927	0.000000
 - 	217	-1.415360	0.469101	0.050114	0.000000
 - 	218	-1.424251	0.468462	0.052115	0.000000
 - 	219	-1.434003	0.467884	0.053872	0.000000
 - 	220	-1.444585	0.467397	0.055343	0.000000
 - 	221	-1.455970	0.467026	0.056504	0.000000
 - 	222	-1.468124	0.466789	0.057343	0.000000
 - 	223	-1.481012	0.466695	0.057859	0.000000
 - 	224	-1.494595	0.466743	0.058060	0.000000
 - 	225	-1.508831	0.466924	0.057962	0.000000
 - 	226	-1.523676	0.467223	0.057585	0.000000
 - 	227	-1.539088	0.467619	0.056955	0.000000
 - 	228	-1.555023	0.468090	0.056102	0.000000
 - 	229	-1.571438	0.468614	0.055056	0.000000
 - 	230	-1.588286	0.469168	0.053850	0.000000
 - 	231	-1.605522	0.469731	0.052514	0.000000
 - 	232	-1.623099	0.470286	0.051078	0.000000
 - 	233	-1.640974	0.470818	0.049575	0.000000
 - 	234	-1.659105	0.471318	0.048036	0.000000
 - 	235	-1.677457	0.471775	0.046495	0.000000
 - 	236	-1.695997	0.472187	0.044984	0.000000
 - 	237	-1.714696	0.472550	0.043538	0.000000
 - 	238	-1.733524	0.472867	0.042184	0.000000
 - 	239	-1.752452	0.473143	0.040950	0.000000
 - 	240	-1.771448	0.473388	0.039858	0.000000
 - 	241	-1.790481	0.473618	0.038928	0.000000
 - 	242	-1.809519	0.473852	0.038177	0.000000
 - 	243	-1.828528	0.474113	0.037619	0.000000
 - 	244	-1.847473	0.474427	0.037263	0.000000
 - 	245	-1.866318	0.474824	0.037117	0.000000
 - 	246	-1.885025	0.475330	0.037186	0.000000
 - 	247	-1.903551	0.475967	0.037464	0.000000
 - 	248	-1.921851	0.476750	0.037945	0.000000
 - 	249	-1.939877	0.477684	0.038611	0.000000
 - 	250	-1.957578	0.478759	0.039444	0.000000
 - 	251	-1.974898	0.479954	0.040421	0.000000
 - 	252	-1.991784	0.481234	0.041515	0.000000
 - 	253	-2.008176	0.482554	0.042700	0.000000
 - 	254	-2.024014	0.483860	0.043945	0.000000
 - 	255	-2.039237	0.485097	0.045215	0.000000
 - 	256	-2.053780	0.486207	0.046468	0.000000
 - 	257	-2.067579	0.487138	0.047661	0.000000
 - 	258	-2.080566	0.487843	0.048740	0.000000
 - 	259	-2.092678	0.488285	0.049651	0.000000
 - 	260	-2.103851	0.488436	0.050338	0.000000
 - 	261	-2.114028	0.488279	0.050745	0.000000
 - 	262	-2.123161	0.487809	0.050824	0.000000
 - 	263	-2.131213	0.487033	0.050536	0.000000
 - 	264	-2.138168	0.485971	0.049859	0.000000
 - 	265	-2.144028	0.484658	0.048792	0.000000
 - 	266	-2.148825	0.483143	0.047359	0.000000
 - 	267	-2.152622	0.481489	0.045610	0.000000
 - 	268	-2.155516	0.479772	0.043625	0.000000
 - 	269	-2.157636	0.478078	0.041504	0.000000
 - 	270	-2.159136	0.476490	0.039355	0.000000
 - 	271	-2.160178	0.475085	0.037284	0.000000
 - 	272	-2.160911	0.473914	0.035374	0.000000
 - 	273	-2.161452	0.473001	0.033680	0.000000
 - 	274	-2.161880	0.472336	0.032232	0.000000
 - 	275	-2.162235	0.471882	0.031035	0.000000
 - 	276	-2.162536	0.471586	0.030078	0.000000
 - 	277	-2.162790	0.471399	0.029341	0.000000
 - 	278	-2.163003	0.471278	0.028794	0.000000
 - 	279	-2.163183	0.471200	0.028405	0.000000
 - 	280	-2.163333	0.471150	0.028143	0.000000
 - 	281	-2.163454	0.471118	0.027977	0.000000
 - 	282	-2.163544	0.471097	0.027883	0.000000
 - 	283	-2.163601	0.471082	0.027839	0.000000
 - 	284	-2.163624	0.471072	0.027830	0.000000
 - 	285	-2.163611	0.471065	0.027841	0.000000
 - 	286	-2.163561	0.471062	0.027864	0.000000
 - 	287	-2.163475	0.471064	0.027892	0.000000
 - 	288	-2.163354	0.471071	0.027919	0.000000
 - 	289	-2.163202	0.471083	0.027943	0.000000
 - 	290	-2.163028	0.471102	0.027961	0.000000
 - 	291	-2.162844	0.471126	0.027973	0.000000
 - 	292	-2.162670	0.471156	0.027979	0.000000
 - 	293	-2.162535	0.471190	0.027980	0.000000
 - 	294	-2.162476	0.471227	0.027976	0.000000
 - 	295	-2.162541	0.471267	0.027969	0.000000
 - 	296	-2.162789	0.471308	0.027959	0.000000
 - 	297	-2.163287	0.471352	0.027948	0.000000
 - 	298	-2.164108	0.471396	0.027936	0.000000
 - 	299	-2.165325	0.471443	0.027923	0.000000
 - 	300	-2.167004	0.471493	0.027911	0.000000
 - 	301	-2.169187	0.471545	0.027899	0.000000
 - 	302	-2.171878	0.471601	0.027886	0.000000
