	Frame	X 	Y 	Z 
  	168	11.686452	2.917637	1.962932
  	169	11.479879	2.898769	1.736307
  	170	11.277966	2.871961	1.508675
  	171	11.081670	2.837059	1.281484
  	172	10.891868	2.793707	1.056761
  	173	10.709647	2.741884	0.836558
  	174	10.536267	2.682073	0.622852
  	175	10.374070	2.615008	0.418541
  	176	10.226062	2.541403	0.227106
  	177	10.096372	2.462105	0.052510
  	178	9.990529	2.378438	0.101154
  	179	9.915082	2.292495	0.230342
  	180	9.876918	2.206658	0.332477
  	181	9.883097	2.123196	0.406918
  	182	9.939540	2.043705	0.454657
  	183	10.051716	1.969410	0.479329
  	184	10.224129	1.901136	0.485806
  	185	10.461495	1.839732	0.479145
  	186	10.767534	1.786203	0.464186
  	187	11.146255	1.741602	0.444264
  	188	11.601238	1.707088	0.421242
  	189	12.136070	1.683257	0.395128
  	190	12.754362	1.670299	0.363937
  	191	13.459616	1.667919	0.324733
  	192	14.255197	1.675568	0.274323
  	193	15.144220	1.692135	0.209340
  	194	16.129511	1.716049	0.126940
  	195	17.213564	1.745076	0.025343
  	196	18.397911	1.776363	0.095717
  	197	19.683575	1.806301	0.234515
  	198	21.070667	1.830596	0.387365
  	199	22.557966	1.844381	0.549028
  	200	24.143225	1.842409	0.713240
  	201	25.822626	1.819269	0.873123
  	202	27.590958	1.769934	1.022381
  	203	29.440796	1.690007	1.155483
  	204	31.363071	1.575352	1.269465
  	205	33.346149	1.422546	1.364459
  	206	35.376068	1.229316	1.444021
  	207	37.436668	0.995113	1.515960
  	208	39.510208	0.721446	1.591711
  	209	41.576969	0.412554	1.684849
  	210	43.616501	0.075930	1.808357
  	211	45.607594	0.278145	1.972549
  	212	47.529247	0.636472	2.182420
  	213	49.361954	0.984055	2.438000
  	214	51.087780	1.306176	2.735123
  	215	52.690605	1.590045	3.066800
  	216	54.156124	1.826799	3.424628
  	217	55.472630	2.012455	3.798608
  	218	56.631111	2.147673	4.176927
  	219	57.625473	2.236428	4.545965
  	220	58.452507	2.284871	4.890839
  	221	59.111660	2.299902	5.196656
  	222	59.604507	2.288335	5.449939
  	223	59.934479	2.256160	5.640428
  	224	60.105728	2.208638	5.761989
  	225	60.123013	2.149596	5.812963
  	226	59.991730	2.081226	5.795216
  	227	59.717319	2.004760	5.713432
  	228	59.303658	1.922226	5.574905
  	229	58.753330	1.836403	5.387794
