	Frame	X 	Y 	Z 
  	168	3.211121	0.156140	9.656721
  	169	2.859800	0.114331	9.400735
  	170	2.500603	0.078077	9.135987
  	171	2.133429	0.046673	8.864875
  	172	1.758612	0.019137	8.590969
  	173	1.376881	0.005205	8.317631
  	174	0.989912	0.026855	8.047647
  	175	0.600243	0.045733	7.784023
  	176	0.210965	0.061700	7.529823
  	177	0.174118	0.074297	7.287806
  	178	0.551088	0.082669	7.060165
  	179	0.915830	0.085425	6.848319
  	180	1.264367	0.080729	6.652956
  	181	1.592819	0.066484	6.473410
  	182	1.897979	0.040566	6.308540
  	183	2.176755	0.000952	6.155962
  	184	2.426864	0.054311	6.012628
  	185	2.645740	0.127168	5.875484
  	186	2.831706	0.219040	5.741696
  	187	2.982700	0.330723	5.610584
  	188	3.097642	0.461916	5.483274
  	189	3.175702	0.611293	5.363487
  	190	3.216689	0.777161	5.256557
  	191	3.220346	0.958071	5.168780
  	192	3.185684	1.153392	5.106345
  	193	3.111070	1.363311	5.074766
  	194	2.994186	1.588894	5.078776
  	195	2.832005	1.831664	5.121355
  	196	2.621196	2.092963	5.204036
  	197	2.357982	2.373494	5.326430
  	198	2.038889	2.672949	5.486273
  	199	1.661059	2.989772	5.679729
  	200	1.222812	3.321409	5.901620
  	201	0.723748	3.664138	6.145892
  	202	0.164798	4.013943	6.406327
  	203	0.451307	4.366344	6.676934
  	204	1.120533	4.716878	6.953012
  	205	1.837036	5.061163	7.230998
  	206	2.593792	5.394835	7.507905
  	207	3.383109	5.714061	7.781200
  	208	4.197397	6.015440	8.048251
  	209	5.029359	6.296381	8.306143
  	210	5.873137	6.555568	8.551105
  	211	6.723685	6.793279	8.779409
  	212	7.577225	7.011045	8.987032
  	213	8.430537	7.211998	9.170344
  	214	9.280501	7.399570	9.326862
  	215	10.123746	7.577212	9.455153
  	216	10.955865	7.747527	9.555976
  	217	11.772315	7.911806	9.632359
  	218	12.568208	8.069507	9.689637
  	219	13.339877	8.218791	9.734469
  	220	14.084628	8.357077	9.773638
  	221	14.801023	8.481680	9.812491
  	222	15.488297	8.589721	9.854348
  	223	16.146441	8.678442	9.900177
  	224	16.775360	8.744732	9.949065
  	225	17.375658	8.785247	9.998041
  	226	17.947708	8.796168	10.042098
  	227	18.491796	8.773535	10.075923
  	228	19.006407	8.713134	10.096342
  	229	19.488749	8.610703	10.102593
  	230	19.935692	8.462948	10.095596
  	231	20.347109	8.269404	10.073925
  	232	20.728416	8.034002	10.031489
  	233	21.088934	7.764458	9.958568
  	234	21.438568	7.470174	9.847512
  	235	21.783003	7.159691	9.697316
  	236	22.124279	6.840118	9.515952
  	237	22.462362	6.517822	9.317711
  	238	22.797791	6.198600	9.119360
  	239	23.131260	5.887058	8.936650
  	240	23.463556	5.586610	8.781957
  	241	23.794352	5.299087	8.663615
  	242	24.122761	5.025332	8.586015
  	243	24.446705	4.765327	8.550128
  	244	24.764290	4.519187	8.554217
  	245	25.073011	4.287225	8.594610
  	246	25.370270	4.069894	8.666213
  	247	25.653009	3.868046	8.763078
  	248	25.918108	3.682579	8.879229
  	249	26.162342	3.514030	9.008971
  	250	26.382547	3.362442	9.147367
  	251	26.576468	3.227388	9.289971
  	252	26.742018	3.108025	9.434155
  	253	26.877953	3.003165	9.578339
  	254	26.983860	2.911634	9.722646
  	255	27.060511	2.832071	9.868853
  	256	27.109884	2.762774	10.020309
  	257	27.135300	2.701254	10.181540
  	258	27.141193	2.644244	10.357857
  	259	27.132652	2.587663	10.554625
  	260	27.114954	2.527074	10.776659
  	261	27.093189	2.458099	11.027668
  	262	27.071283	2.377217	11.309636
  	263	27.052202	2.282593	11.621650
  	264	27.036852	2.174484	11.959578
  	265	27.025013	2.055830	12.314481
  	266	27.015099	1.932396	12.672965
  	267	27.005133	1.812374	13.016403
  	268	26.992489	1.705321	13.323566
  	269	26.974405	1.620353	13.572960
  	270	26.947775	1.564322	13.747300
  	271	26.908209	1.539547	13.837532
  	272	26.850046	1.543466	13.846387
  	273	26.766590	1.569453	13.788147
  	274	26.651094	1.609279	13.685221
  	275	26.497046	1.654465	13.564905
  	276	26.299091	1.697307	13.453927
  	277	26.052620	1.730973	13.375394
  	278	25.755358	1.749607	13.346272
  	279	25.407656	1.748911	13.376425
  	280	25.014090	1.726582	13.467898
  	281	24.582737	1.682809	13.615809
  	282	24.124908	1.619822	13.810085
  	283	23.653732	1.542081	14.037852
  	284	23.182459	1.455056	14.285391
  	285	22.722326	1.364394	14.539267
  	286	22.281649	1.274570	14.786115
  	287	21.865658	1.187987	15.011184
  	288	21.476086	1.105211	15.199766
  	289	21.113113	1.026529	15.339633
  	290	20.775501	0.952206	15.423127
  	291	20.460777	0.881280	15.447465
  	292	20.163038	0.810001	15.417130
  	293	19.874384	0.732874	15.344460
  	294	19.586514	0.644599	15.246000
  	295	19.294172	0.542367	15.138222
  	296	18.996380	0.426706	15.034477
  	297	18.697639	0.302020	14.942385
  	298	18.406881	0.175565	14.865004
  	299	18.134539	0.054727	14.803115
  	300	17.889072	0.054800	14.756783
  	301	17.677311	0.149522	14.725863
  	302	17.502855	0.228051	14.708735
