	Frame	X 	Y 	Z 
  	168	0.802786	15.891729	15.424332
  	169	0.902724	15.936083	15.421919
  	170	1.002686	15.994423	15.418628
  	171	1.103866	16.067673	15.414675
  	172	1.207113	16.156494	15.410326
  	173	1.313625	16.261545	15.406358
  	174	1.424468	16.382994	15.403735
  	175	1.541196	16.521204	15.403586
  	176	1.665624	16.676720	15.407404
  	177	1.799813	16.849846	15.417134
  	178	1.946533	17.040411	15.435213
  	179	2.108390	17.247072	15.464020
  	180	2.287212	17.467838	15.505855
  	181	2.483819	17.701202	15.562568
  	182	2.697249	17.947094	15.635001
  	183	2.924777	18.206673	15.722666
  	184	3.162392	18.481709	15.824249
  	185	3.405342	18.773701	15.937724
  	186	3.648031	19.083815	16.060589
  	187	3.884033	19.412271	16.189259
  	188	4.106443	19.758427	16.319681
  	189	4.307376	20.120157	16.447002
  	190	4.479091	20.494013	16.566664
  	191	4.613615	20.874899	16.674236
  	192	4.702979	21.256666	16.765581
  	193	4.739641	21.632826	16.837399
  	194	4.715952	21.996836	16.886425
  	195	4.624262	22.342392	16.909756
  	196	4.456521	22.663385	16.904449
  	197	4.204877	22.954161	16.867670
  	198	3.862320	23.208876	16.796867
  	199	3.423094	23.421970	16.690144
  	200	2.884341	23.588951	16.546581
  	201	2.246325	23.706343	16.366346
  	202	1.513027	23.771669	16.150377
  	203	0.692413	23.782999	15.899864
  	204	0.202650	23.740330	15.616614
  	205	1.153912	23.645508	15.303658
  	206	2.137809	23.502533	14.966031
  	207	3.125345	23.317606	14.612165
  	208	4.083506	23.099401	14.254149
  	209	4.978813	22.859150	13.906395
  	210	5.781350	22.610762	13.583314
  	211	6.468160	22.369099	13.296759
  	212	7.025553	22.148804	13.054574
  	213	7.447880	21.962927	12.860453
  	214	7.736324	21.822912	12.715005
  	215	7.898818	21.736565	12.616881
  	216	7.948738	21.704689	12.563731
  	217	7.902424	21.720932	12.552848
  	218	7.775885	21.774712	12.581076
  	219	7.584021	21.852011	12.643767
  	220	7.339292	21.938889	12.734257
  	221	7.051376	22.024748	12.843914
  	222	6.728126	22.104219	12.963256
  	223	6.376376	22.174351	13.082895
  	224	6.002663	22.234026	13.194761
  	225	5.613948	22.282511	13.292922
  	226	5.215741	22.321526	13.373711
  	227	4.812904	22.354889	13.435464
  	228	4.409733	22.386971	13.477550
  	229	4.011746	22.420156	13.499435
  	230	3.625993	22.454374	13.500775
  	231	3.260167	22.487911	13.482340
  	232	2.922302	22.517738	13.446331
  	233	2.619622	22.540556	13.396166
  	234	2.357780	22.553616	13.336748
  	235	2.139992	22.556372	13.274056
  	236	1.966592	22.550362	13.213766
  	237	1.837135	22.537193	13.159287
  	238	1.751648	22.518627	13.110437
  	239	1.710265	22.496475	13.064808
  	240	1.714021	22.472084	13.018844
  	241	1.764792	22.446480	12.968692
  	242	1.864223	22.421793	12.908995
  	243	2.013040	22.402262	12.832011
  	244	2.209859	22.394258	12.728533
  	245	2.451720	22.403681	12.591020
  	246	2.735233	22.433468	12.416698
  	247	3.057830	22.481798	12.208526
  	248	3.417884	22.541555	11.973999
  	249	3.812817	22.602358	11.723659
  	250	4.238920	22.652920	11.468453
  	251	4.691495	22.682583	11.217292
  	252	5.165078	22.682394	10.974951
  	253	5.654297	22.645769	10.742214
  	254	6.153965	22.568434	10.517924
  	255	6.658376	22.448952	10.300734
  	256	7.162165	22.289532	10.089708
  	257	7.660183	22.096846	9.883934
  	258	8.148432	21.881989	9.682748
  	259	8.623512	21.658249	9.486444
  	260	9.082513	21.438496	9.296875
  	261	9.523335	21.233067	9.117618
  	262	9.944262	21.047661	8.953906
  	263	10.343282	20.882515	8.813140
  	264	10.717124	20.732458	8.706480
  	265	11.059784	20.587774	8.648617
  	266	11.362919	20.435698	8.656595
  	267	11.615623	20.262817	8.748871
  	268	11.805420	20.058226	8.942871
  	269	11.920438	19.816965	9.252980
  	270	11.951715	19.543100	9.688000
  	271	11.894722	19.250731	10.248614
  	272	11.749519	18.960361	10.926196
  	273	11.519604	18.691357	11.701688
  	274	11.212523	18.453733	12.544706
  	275	10.839707	18.246157	13.414109
  	276	10.417798	18.059629	14.260058
  	277	9.967257	17.884563	15.030398
  	278	9.510358	17.714897	15.678734
  	279	9.067023	17.549658	16.172987
  	280	8.652184	17.391291	16.500044
  	281	8.273922	17.243444	16.664303
  	282	7.934570	17.109440	16.683928
  	283	7.632659	16.991064	16.586416
  	284	7.363605	16.889040	16.405436
  	285	7.122099	16.801485	16.176891
  	286	6.901524	16.726118	15.936056
  	287	6.696249	16.659515	15.713470
  	288	6.500679	16.598614	15.531754
  	289	6.310922	16.540586	15.404040
  	290	6.125000	16.483345	15.333368
  	291	5.942149	16.425695	15.314307
  	292	5.763401	16.367224	15.334938
  	293	5.590412	16.308064	15.380674
  	294	5.425520	16.248041	15.437044
  	295	5.271420	16.187460	15.492179
  	296	5.130194	16.126381	15.538001
  	297	5.004123	16.065313	15.570340
  	298	4.894547	16.004974	15.588716
  	299	4.802155	15.946349	15.595549
  	300	4.726914	15.890921	15.594797
  	301	4.668064	15.839947	15.589913
  	302	4.624067	15.794379	15.583193
